Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в германии» по регионам, 25.04.2026 — 25.05.2026, все устройства
Армавир;4;0,0000431;168,579;
Геленджик;2;0,0000281;109,864;
Краснодарский край;94;0,0000234;91,678;
Крымск;2;0,0000617;240,970;
Республика Адыгея;12;0,0000491;191,795;
Республика Дагестан;5;0,0000068;26,874;
Республика Ингушетия;11;0,0001230;480,483;
Кабардино-Балкарская Республика;3;0,0000095;37,262;
Карачаево-Черкесская Республика;13;0,0000873;341,263;
Республика Северная Осетия — Алания;1;0,0000038;15,105;
Чеченская Республика;1;0,0000046;18,005;
Ростовская область;94;0,0000333;130,205;
Азов;1;0,0000191;74,967;
Белая Калитва;1;0,0000439;171,775;
Гуково;2;0,0000851;332,543;
Каменск-Шахтинский;1;0,0000204;79,700;
Шахты;1;0,0000093;36,352;
Георгиевск;2;0,0000635;248,100;
Ессентуки;3;0,0000454;177,340;
Пятигорск;7;0,0000730;285,103;
Ставропольский край;26;0,0000176;68,915;
Кировская область;10;0,0000129;50,545;
Кирово-Чепецк;1;0,0000251;98,106;
Республика Марий Эл;4;0,0000109;42,954;
Нижегородская область;71;0,0000254;99,329;
Арзамас;2;0,0000289;112,899;
Павлово;1;0,0000258;100,902;
Саров;3;0,0000508;198,623;
Оренбургская область;13;0,0000116;45,306;
Гай;1;0,0000548;214,111;
Орск;1;0,0000092;35,946;
Пензенская область;14;0,0000175;68,610;
Кузнецк;2;0,0000432;168,751;
Пермский край;39;0,0000250;97,773;
Республика Башкортостан;52;0,0000228;89,285;
Кумертау;1;0,0000334;130,612;
Нефтекамск;2;0,0000258;100,881;
Салават;1;0,0000154;60,418;
Стерлитамак;1;0,0000067;26,393;
Республика Мордовия;14;0,0000329;128,736;
Республика Татарстан;98;0,0000403;157,460;
Нижнекамск;1;0,0000077;30,266;
Чистополь;1;0,0000355;138,745;
Самарская область;31;0,0000146;57,074;
Жигулёвск;1;0,0000341;133,370;
Новокуйбышевск;6;0,0000582;227,384;
Саратовская область;11;0,0000074;29,175;
Удмуртская Республика;15;0,0000158;61,805;
Сарапул;3;0,0000632;246,929;
Ульяновская область;15;0,0000209;81,861;
Чувашская Республика;16;0,0000217;84,978;
Курганская область;2;0,0000048;19,101;
Свердловская область;66;0,0000195;76,340;
Нижний Тагил;1;0,0000048;18,882;
Новоуральск;2;0,0000430;168,212;
Ишим;1;0,0000263;102,719;
Тобольск;2;0,0000275;107,528;
Тюменская область;30;0,0000256;100,062;
Ханты-Мансийский автономный округ - Югра;21;0,0000194;76,146;
Копейск;10;0,0001279;499,527;
Миасс;2;0,0000211;82,435;
Снежинск;1;0,0000338;132,081;
Челябинская область;56;0,0000258;100,804;
Новый Уренгой;3;0,0000336;131,522;
Ямало-Ненецкий автономный округ;7;0,0000192;75,265;
Алтайский край;13;0,0000105;41,065;
Новоалтайск;1;0,0000229;89,461;
Рубцовск;2;0,0000286;111,737;
Ангарск;2;0,0000157;61,635;
Иркутская область;22;0,0000148;58,117;
Черемхово;1;0,0000373;145,947;
Белово;1;0,0000253;98,946;
Кемеровская область (Кузбасс);31;0,0000217;84,895;
Киселёвск;1;0,0000261;102,105;
Прокопьевск;1;0,0000119;46,757;
Юрга;2;0,0000495;193,648;
Ачинск;5;0,0000796;311,012;
Енисейск;1;0,0000898;350,849;
Красноярский край;44;0,0000235;91,987;
Норильск;2;0,0000215;83,989;
Бердск;3;0,0000414;162,014;
Новосибирская область;49;0,0000221;86,361;
Омская область;20;0,0000181;70,748;
Республика Бурятия;9;0,0000192;75,281;
Кызыл;1;0,0000111;43,704;
Республика Хакасия;9;0,0000288;112,552;
Томская область;11;0,0000186;72,734;
Камчатский край;3;0,0000187;73,346;
Магаданская область;1;0,0000144;56,514;
Приморский край;27;0,0000306;119,563;
Уссурийск;3;0,0000413;161,285;
Нерюнгри;1;0,0000321;125,698;
Республика Саха (Якутия);12;0,0000320;125,345;
Сахалинская область;3;0,0000122;47,994;
Комсомольск-на-Амуре;1;0,0000091;35,817;
Хабаровский край;32;0,0000480;187,624;
Евпатория;3;0,0000423;165,295;
Выкса;1;0,0000243;95,231;
Усть-Кут;1;0,0000381;148,804;
Карасук;3;0,0001926;752,379;
Магас;10;0,0009191;3 589,128;
Октябрьский;1;0,0000175;68,534;
Березники;2;0,0000271;106,196;
Колпинский район;2;0,0000319;124,902;
Пушкинский район;11;0,0000956;373,685;
Жуковский;2;0,0000241;94,356;
Протвино;4;0,0002013;786,292;
Североуральск;2;0,0001513;590,872;
Троицк;3;0,0001560;609,223;
Славянск-на-Кубани;1;0,0000299;116,960;
Курчатов;1;0,0000361;141,337;
Верхняя Пышма;1;0,0000159;62,164;
Королёв;9;0,0000453;177,020;
Кызылорда;1;0,0000455;178,006;
Тараз;10;0,0003165;1 236,086;
Фрязино;5;0,0001049;409,976;
Реутов;1;0,0000102;39,853;
Ивантеевка;2;0,0000288;112,579;
Щербинка;1;0,0000286;112,057;
Лыткарино;1;0,0000244;95,669;
Лобня;1;0,0000123;48,370;
Старая Купавна;1;0,0000480;187,677;
Полевской;1;0,0000275;107,562;
Дзержинский;6;0,0001526;596,096;
Нахабино;6;0,0001295;505,851;
Забайкальский край;19;0,0000364;142,222;
Солигорск;1;0,0000508;198,738;
Колпино;2;0,0000417;162,861;
Абхазия;1;0,0000244;95,484;
Берёзовский (Свердловская область);2;0,0000383;149,688;
Акмолинская область;9;0,0000297;116,165;
Алматы и область;10;0,0000242;94,819;
Тараз и Жамбылская область;12;0,0002576;1 005,967;
Караганда и область;1;0,0000072;28,294;
Костанай и область;2;0,0000184;71,998;
Кызылорда и область;1;0,0000338;132,061;
Павлодар и область;2;0,0000227;88,769;
Северо-Казахстанская область;11;0,0001792;700,027;
Экибастуз;2;0,0001509;589,521;
Минск и область;24;0,0000220;85,982;
Гомель и область;5;0,0000145;56,855;
Витебск и область;2;0,0000067;26,276;
Гродно и область;4;0,0000195;76,175;
Новочебоксарск;5;0,0000654;255,496;
Волоколамский район;2;0,0000469;183,410;
Воскресенский район;1;0,0000091;35,880;
Дмитровский городской округ;5;0,0000274;107,168;
Истра (городской округ);4;0,0000199;78,057;
Кашира (городской округ);2;0,0000497;194,422;
Клин (городской округ);4;0,0000383;149,595;
Красногорск (городской округ);12;0,0000374;146,157;
Ленинский район;4;0,0000130;51,032;
Луховицы (городской округ);2;0,0000504;197,081;
Люберцы (городской округ);15;0,0000342;133,826;
Мытищи (городской округ);17;0,0000466;182,017;
Наро-Фоминский городской округ;2;0,0000123;48,375;
Богородский (городской округ);5;0,0000243;95,198;
Одинцовский район;9;0,0000200;78,280;
Павловский Посад (городской округ);2;0,0000299;116,860;
Пушкинский район;4;0,0000139;54,364;
Раменский район;9;0,0000309;120,894;
Рузский городской округ;2;0,0000328;128,297;
Сергиево-Посадский район;2;0,0000102;40,217;
Солнечногорский район;6;0,0000262;102,528;
Шатура (городской округ);1;0,0000269;105,228;
Щёлковский район;7;0,0000319;124,953;
Волховский район;1;0,0000214;83,613;
Всеволожский район;8;0,0000136;53,287;
Выборгский район;1;0,0000079;31,219;
Гатчинский район;2;0,0000120;47,008;
Кингисеппский район;1;0,0000151;59,320;
Киришский район;2;0,0000502;196,287;
Кировский район;4;0,0000363;141,815;
Приозерский район;1;0,0000230;90,029;
Тихвинский район;2;0,0000493;192,822;
Тосненский район;2;0,0000203;79,274;
Малоярославецкий район;2;0,0000416;162,682;
Вяземский район;2;0,0000481;187,949;
Гагаринский район;3;0,0001316;514,249;
Ярцевский район;2;0,0000788;308,006;
Угличский район;1;0,0000410;160,242;
Великоустюгский район;14;0,0006926;2 705,004;
Белореченский район;1;0,0000193;75,493;
Крымский район;2;0,0000344;134,383;
Славянский район;1;0,0000188;73,639;
Туапсинский район;3;0,0000428;167,160;
Белокалитвинский район;1;0,0000266;104,015;
Павловский район;1;0,0000172;67,448;
Саткинский район;3;0,0000835;326,392;
Усть-Кутский район;1;0,0000349;136,422;
Карасукский район;3;0,0001926;752,379;
Кандалакшский район;1;0,0000384;150,177;
Нерюнгринский район;1;0,0000263;103,038;
Солигорский район;1;0,0000508;198,738;
Оршанский район;2;0,0000654;255,664;
Северный Кавказ;60;0,0000185;72,589;
Провинция Анталья;6;0,0001475;576,050;
Провинция Мерсин;3;0,0004967;1 939,908;
Провинция Мугла;2;0,0004696;1 833,859;
Свободное государство Бавария;5;0,0003132;1 223,413;
Область Гехаркуник;2;0,0008670;3 385,770;
Область Ширак;1;0,0002149;839,327;
Сортавальский район;3;0,0001711;668,260;
Автономная Республика Аджария;1;0,0000770;300,809;
