Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «подготовка к ielts» по регионам, 25.04.2026 — 25.05.2026, все устройства
Мыски;1;0,00004755;254,91;
Красноярский край;15;0,00000803;43,04;
Бердск;1;0,00001382;74,12;
Новосибирская область;36;0,00001624;87,09;
Омская область;7;0,00000634;33,98;
Горно-Алтайск;2;0,00003871;207,51;
Республика Бурятия;1;0,00000214;11,48;
Томская область;2;0,00000338;18,15;
Амурская область;4;0,00001190;63,79;
Камчатский край;4;0,00002504;134,23;
Магаданская область;1;0,00001447;77,57;
Приморский край;25;0,00002834;151,96;
Уссурийск;2;0,00002753;147,59;
Республика Саха (Якутия);1;0,00000267;14,33;
Хабаровский край;2;0,00000300;16,09;
Керчь;3;0,00003855;206,68;
Ялта;1;0,00001624;87,05;
Выкса;1;0,00002438;130,71;
Ревда;1;0,00002622;140,55;
Лысьва;2;0,00005673;304,09;
Белорецк;1;0,00002805;150,39;
Мексика;3;0,00068094;3 650,02;
Колпинский район;1;0,00001599;85,72;
Пушкинский район;7;0,00006089;326,41;
Кипр;2;0,00017466;936,25;
Троицк;4;0,00020801;1 115,00;
Красноуфимск;1;0,00004278;229,34;
Бобруйск;10;0,00023464;1 257,74;
Кокшетау;2;0,00007304;391,53;
Кызылорда;1;0,00004558;244,34;
Тараз;1;0,00003165;169,67;
Наманган;1;0,00121658;6 521,23;
Фрязино;1;0,00002099;112,55;
Реутов;15;0,00015308;820,57;
Дедовск;1;0,00004593;246,21;
Белоозерский;2;0,00017836;956,06;
Хотьково;1;0,00005832;312,66;
Дзержинский;1;0,00002544;136,37;
Нахабино;1;0,00002158;115,72;
Забайкальский край;6;0,00001150;61,64;
Новополоцк;1;0,00004137;221,80;
Колпино;1;0,00002085;111,77;
Жлобин;3;0,00018312;981,59;
Берёзовский (Свердловская область);1;0,00001916;102,73;
Акмолинская область;42;0,00013882;744,12;
Алматы и область;27;0,00006555;351,41;
Тараз и Жамбылская область;1;0,00002146;115,07;
Караганда и область;10;0,00007245;388,39;
Костанай и область;6;0,00005531;296,48;
Кызылорда и область;1;0,00003381;181,27;
Актау и Мангистауская область;1;0,00002352;126,09;
Павлодар и область;4;0,00004546;243,69;
Северо-Казахстанская область;12;0,00019555;1 048,25;
Туркестан и область;20;0,00017602;943,53;
Жанаозен;1;0,00021358;1 144,86;
Экибастуз;3;0,00022644;1 213,81;
Могилёв и область;11;0,00004365;234,01;
Минск и область;22;0,00002018;108,18;
Гомель и область;3;0,00000873;46,82;
Витебск и область;1;0,00000336;18,03;
Гродно и область;2;0,00000975;52,28;
Темиртау;2;0,00010975;588,32;
Воскресенский район;2;0,00001837;98,50;
Дмитровский городской округ;1;0,00000548;29,42;
Истра (городской округ);1;0,00000499;26,78;
Красногорск (городской округ);6;0,00001871;100,31;
Ленинский район;5;0,00001633;87,56;
Люберцы (городской округ);7;0,00001599;85,72;
Мытищи (городской округ);10;0,00002741;146,96;
Наро-Фоминский городской округ;5;0,00003096;166,00;
Богородский (городской округ);2;0,00000975;52,26;
Одинцовский район;9;0,00002004;107,45;
Пушкинский район;1;0,00000348;18,65;
Раменский район;1;0,00000343;18,43;
Сергиево-Посадский район;1;0,00000514;27,60;
Солнечногорский район;1;0,00000437;23,45;
Чехов (городской округ);1;0,00000731;39,19;
Щёлковский район;4;0,00001828;98,01;
Всеволожский район;14;0,00002388;128,00;
Гатчинский район;4;0,00002407;129,05;
Петушинский район;2;0,00004375;234,54;
Малоярославецкий район;1;0,00002082;111,65;
Угличский район;1;0,00004103;219,95;
Туапсинский район;2;0,00002853;152,96;
Кстовский район;1;0,00000822;44,08;
Белорецкий район;1;0,00002105;112,85;
Балаковский район;2;0,00001728;92,66;
Энгельсский район;2;0,00001224;65,66;
Жлобинский район;3;0,00018312;981,59;
Северный Кавказ;36;0,00001115;59,78;
Провинция Анталья;2;0,00004917;263,57;
Провинция Стамбул;1;0,00003946;211,54;
Уусимаа;1;0,00004324;231,81;
Область Ширак;1;0,00021493;1 152,10;
Наманганская область;1;0,00029371;1 574,38;
Панфиловский район;1;0,00028878;1 547,93;
Илийский район;2;0,00012676;679,48;
Талгарский район;1;0,00005970;320,03;
Автономная Республика Аджария;2;0,00015406;825,81;
Область Жетысу;4;0,00012269;657,69;
Область Улытау;2;0,00017594;943,09;
Область Абай;1;0,00002831;151,78;
