Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Абакан;2;0,0000124;39,59;
Грозный;2;0,0000172;54,96;
Северная Америка;4;0,0000315;100,45;
Вьетнам;6;0,0001936;615,93;
Индонезия;1;0,0000401;127,55;
Санкт-Петербург и Ленинградская область;264;0,0000375;119,45;
Республика Тыва;4;0,0000286;91,11;
Еврейская автономная область;2;0,0000327;104,20;
Ереван;1;0,0000237;75,42;
Гродно;1;0,0000088;28,17;
Тбилиси;1;0,0000303;96,65;
Атырау;15;0,0004257;1 353,99;
Костанай;4;0,0000677;215,39;
Петропавловск;1;0,0000242;77,24;
Рудный;2;0,0001115;354,67;
Усть-Каменогорск;3;0,0000519;165,31;
Бишкек;1;0,0000125;40,00;
Ташкент;1;0,0000440;140,13;
Вена;3;0,0003024;961,77;
Хельсинки;6;0,0002594;825,18;
Белгородская область;19;0,0000173;55,16;
Старый Оскол;4;0,0000227;72,46;
Брянская область;14;0,0000181;57,67;
Александров;4;0,0000824;262,30;
Владимирская область;15;0,0000146;46,65;
Воронежская область;30;0,0000178;56,78;
Ивановская область;5;0,0000077;24,78;
Кинешма;1;0,0000223;71,14;
Калужская область;8;0,0000096;30,78;
Костромская область;3;0,0000073;23,37;
Курская область;7;0,0000088;27,98;
Липецкая область;4;0,0000052;16,59;
Апрелевка;3;0,0000984;313,08;
Балашиха;12;0,0000254;80,96;
Видное;6;0,0000644;204,83;
Волоколамск;2;0,0001031;328,13;
Воскресенск;2;0,0000349;111,28;
Дмитров;5;0,0000746;237,43;
Домодедово;18;0,0001246;396,45;
Егорьевск;2;0,0000407;129,55;
Истра;4;0,0001067;339,42;
Коломна;9;0,0000813;258,74;
Красногорск;10;0,0000648;206,07;
Люберцы;5;0,0000199;63,48;
Мытищи;4;0,0000145;46,38;
Наро-Фоминск;1;0,0000224;71,30;
Ногинск;3;0,0000336;107,12;
Одинцово;14;0,0000776;246,80;
Орехово-Зуево;3;0,0000393;125,13;
Подольск;4;0,0000150;48,00;
Пушкино;2;0,0000171;54,40;
Раменское;7;0,0000613;195,15;
Сергиев Посад;2;0,0000191;60,74;
Серпухов;2;0,0000205;65,20;
Солнечногорск;1;0,0000220;70,13;
Химки;30;0,0000604;192,23;
Орловская область;4;0,0000078;25,03;
Рязанская область;44;0,0000522;166,31;
Смоленская область;7;0,0000118;37,77;
Тамбовская область;12;0,0000202;64,25;
Тверская область;13;0,0000150;47,85;
Тульская область;15;0,0000145;46,15;
Ярославская область;7;0,0000074;23,61;
Архангельская область;5;0,0000078;24,82;
Вологодская область;20;0,0000249;79,30;
Калининградская область;18;0,0000302;96,26;
Кировск;1;0,0000184;58,62;
Пушкин;9;0,0002143;681,61;
Сосновый Бор;3;0,0000627;199,63;
Мончегорск;2;0,0000665;211,69;
Мурманская область;5;0,0000101;32,24;
Новгородская область;5;0,0000126;40,20;
Боровичи;4;0,0001182;376,07;
Псковская область;10;0,0000253;80,72;
Великие Луки;1;0,0000148;47,36;
Республика Карелия;5;0,0000134;42,78;
Костомукша;1;0,0000625;198,97;
Республика Коми;3;0,0000063;20,30;
Астраханская область;5;0,0000104;33,24;
Волгоградская область;36;0,0000243;77,31;
Волжский;2;0,0000105;33,68;
Камышин;1;0,0000176;56,07;
Белореченск;1;0,0000305;97,18;
Геленджик;2;0,0000281;89,46;
Краснодарский край;121;0,0000302;96,10;
Республика Адыгея;9;0,0000368;117,14;
Кизляр;2;0,0001150;365,78;
Республика Дагестан;17;0,0000233;74,40;
Хасавюрт;4;0,0001474;468,83;
Республика Ингушетия;1;0,0000111;35,57;
Кабардино-Балкарская Республика;11;0,0000349;111,26;
Республика Калмыкия;2;0,0000176;56,18;
Карачаево-Черкесская Республика;1;0,0000067;21,37;
Республика Северная Осетия — Алания;3;0,0000116;36,90;
Чеченская Республика;2;0,0000092;29,32;
Ростовская область;92;0,0000326;103,77;
Батайск;6;0,0000637;202,72;
Каменск-Шахтинский;7;0,0001428;454,32;
Шахты;2;0,0000186;59,20;
Георгиевск;2;0,0000635;202,04;
Кисловодск;1;0,0000171;54,49;
Пятигорск;3;0,0000312;99,50;
Ставропольский край;41;0,0000278;88,49;
Кировская область;12;0,0000155;49,39;
Республика Марий Эл;13;0,0000357;113,68;
Нижегородская область;55;0,0000197;62,66;
Арзамас;2;0,0000289;91,93;
Саров;1;0,0000169;53,91;
Оренбургская область;32;0,0000285;90,81;
Новотроицк;1;0,0000235;74,94;
Орск;4;0,0000368;117,09;
Пензенская область;15;0,0000188;59,86;
Кузнецк;2;0,0000432;137,42;
Пермский край;33;0,0000211;67,37;
Республика Башкортостан;41;0,0000180;57,32;
Стерлитамак;3;0,0000202;64,47;
Республика Мордовия;25;0,0000588;187,20;
Республика Татарстан;71;0,0000292;92,89;
Нижнекамск;2;0,0000155;49,29;
Самарская область;63;0,0000297;94,45;
Жигулёвск;2;0,0000683;217,22;
Саратовская область;17;0,0000115;36,71;
Удмуртская Республика;34;0,0000358;114,08;
Глазов;2;0,0000347;110,57;
Сарапул;3;0,0000632;201,08;
Ульяновская область;10;0,0000139;44,44;
Чувашская Республика;12;0,0000163;51,90;
Курганская область;5;0,0000122;38,88;
Свердловская область;163;0,0000482;153,53;
Нижний Тагил;1;0,0000048;15,37;
Нижняя Тура;1;0,0000763;242,86;
Первоуральск;2;0,0000252;80,28;
Ишим;2;0,0000526;167,29;
Тобольск;2;0,0000275;87,56;
Тюменская область;32;0,0000273;86,91;
Лангепас;1;0,0000502;159,92;
Нефтеюганск;1;0,0000134;42,64;
Ханты-Мансийский автономный округ - Югра;13;0,0000120;38,38;
Верхний Уфалей;1;0,0000708;225,28;
Копейск;1;0,0000127;40,67;
Миасс;2;0,0000211;67,13;
Озёрск;3;0,0000686;218,30;
Челябинская область;45;0,0000207;65,96;
Губкинский;1;0,0000529;168,47;
Надым;1;0,0000307;97,92;
Ямало-Ненецкий автономный округ;6;0,0000165;52,53;
Алтайский край;28;0,0000226;72,02;
Ангарск;3;0,0000236;75,28;
Иркутская область;38;0,0000257;81,74;
Усть-Илимск;2;0,0000509;161,96;
Черемхово;2;0,0000747;237,70;
Кемеровская область (Кузбасс);23;0,0000161;51,29;
Киселёвск;2;0,0000522;166,29;
Междуреченск;6;0,0001106;351,76;
Юрга;1;0,0000247;78,84;
Ачинск;2;0,0000318;101,30;
Красноярский край;70;0,0000374;119,17;
Бердск;2;0,0000276;87,95;
Новосибирская область;58;0,0000261;83,24;
Омская область;39;0,0000353;112,34;
Республика Бурятия;14;0,0000299;95,36;
Кызыл;4;0,0000447;142,36;
