Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «виза для учебы» по регионам, 25.04.2026 — 25.05.2026, все устройства
Истра;2;0,00005336;890,27;
Красногорск;1;0,00000648;108,10;
Мытищи;3;0,00001093;182,48;
Наро-Фоминск;1;0,00002242;374,02;
Одинцово;3;0,00001663;277,43;
Подольск;1;0,00000377;62,95;
Пушкино;1;0,00000855;142,70;
Химки;6;0,00001208;201,68;
Щёлково;1;0,00000773;129,01;
Орловская область;5;0,00000984;164,18;
Рязанская область;7;0,00000832;138,79;
Смоленская область;2;0,00000339;56,61;
Тамбовская область;2;0,00000336;56,17;
Вышний Волочёк;1;0,00003682;614,39;
Тверская область;7;0,00000810;135,18;
Тульская область;2;0,00000193;32,28;
Переславль-Залесский;2;0,00006876;1 147,07;
Ярославская область;2;0,00000212;35,39;
Архангельская область;2;0,00000312;52,09;
Вологодская область;1;0,00000124;20,80;
Калининградская область;7;0,00001177;196,38;
Советск;3;0,00021183;3 533,83;
Гатчина;1;0,00001429;238,45;
Мурманская область;1;0,00000202;33,82;
Республика Карелия;5;0,00001345;224,42;
Республика Коми;1;0,00000212;35,50;
Воркута;1;0,00003170;528,88;
Астраханская область;3;0,00000627;104,65;
Волгоградская область;3;0,00000202;33,79;
Армавир;1;0,00001079;180,03;
Геленджик;1;0,00001406;234,66;
Краснодарский край;29;0,00000724;120,82;
Республика Адыгея;1;0,00000409;68,27;
Каспийск;3;0,00005427;905,35;
Республика Дагестан;3;0,00000412;68,88;
Кабардино-Балкарская Республика;2;0,00000636;106,11;
Республика Калмыкия;5;0,00004416;736,79;
Карачаево-Черкесская Республика;2;0,00001344;224,28;
Республика Северная Осетия — Алания;2;0,00000773;129,05;
Ростовская область;11;0,00000390;65,09;
Шахты;2;0,00001861;310,59;
Кисловодск;1;0,00001713;285,87;
Пятигорск;2;0,00002085;347,97;
Ставропольский край;9;0,00000610;101,90;
Кировская область;1;0,00000129;21,59;
Республика Марий Эл;3;0,00000824;137,62;
Нижегородская область;7;0,00000250;41,83;
Оренбургская область;5;0,00000446;74,44;
Орск;3;0,00002761;460,68;
Пензенская область;1;0,00000125;20,93;
Кузнецк;1;0,00002160;360,44;
